game_id,total_rounds,player_id,player_name,strategy,won_game,final_score,rounds_played,rounds_won,flip_7_count,bust_count,cards_drawn,avg_round_score,winning_strategy
320f1a6f-41d7-4218-9eb3-36b18d6cd832,18,0b6d1f48-5404-45f3-b555-44eabf247776,Player_1_Random_50,Random_50,0,113,18,10,0,2,28,6.28,Threshold_30
320f1a6f-41d7-4218-9eb3-36b18d6cd832,18,fdc02714-683b-4c15-b2ad-7db21028c082,Player_2_Threshold_30,Threshold_30,1,207,18,7,0,11,70,11.5,Threshold_30
6f6816a1-97f4-41de-a402-9abeb632417b,15,d5809a7c-18da-4f38-b8ab-a4fde1b0c084,Player_1_Threshold_25,Threshold_25,1,211,15,8,0,7,51,14.07,Threshold_25
6f6816a1-97f4-41de-a402-9abeb632417b,15,d74f02ba-f0c6-482e-b568-1d91e85adb1f,Player_2_Random_50,Random_50,0,71,15,6,0,2,12,4.73,Threshold_25
4c3df63b-213c-425c-980a-d43d3c9f33f1,9,6c26d6af-1422-4d74-a000-a2dc38e7a9a3,Player_1_Threshold_21,Threshold_21,1,203,9,7,0,1,30,22.56,Threshold_21
4c3df63b-213c-425c-980a-d43d3c9f33f1,9,31b58db7-27ef-4ba1-876a-2124cdbf33ff,Player_2_Random_50,Random_50,0,67,9,2,0,1,8,7.44,Threshold_21
4b5f2cba-a9e4-438a-bf1a-1aa018c38a0d,13,533a986d-1781-4050-8a0a-5ad391357d48,Player_1_Random_50,Random_50,0,31,13,5,0,0,4,2.38,Threshold_25
4b5f2cba-a9e4-438a-bf1a-1aa018c38a0d,13,8beaa266-ef85-46a0-8076-1f8c0e3828f9,Player_2_Threshold_25,Threshold_25,1,215,13,8,0,5,51,16.54,Threshold_25
484ec7b4-13ef-451b-95e5-67ee241b2302,8,fdf79a23-480b-420b-a4ef-703456fe2a86,Player_1_Random_50,Random_50,0,49,8,1,0,0,6,6.12,Threshold_25
484ec7b4-13ef-451b-95e5-67ee241b2302,8,235be5f1-2094-4c5a-a567-556e0d24521b,Player_2_Threshold_25,Threshold_25,1,211,8,7,0,1,28,26.38,Threshold_25
16366168-2d09-42ca-8282-4f786c439d43,7,7e9caa27-e349-4f25-b854-2b99de7927cf,Player_1_Threshold_30,Threshold_30,1,214,7,6,0,1,32,30.57,Threshold_30
16366168-2d09-42ca-8282-4f786c439d43,7,acc7bcc2-de98-47a7-a038-e3bddb8aae26,Player_2_Random_50,Random_50,0,32,7,1,0,0,3,4.57,Threshold_30
1fe59f61-7f32-4bfe-a775-99fd17678ad8,10,ff09c2f4-a9fb-47dc-a17f-fdd1aa0fd93f,Player_1_Random_50,Random_50,0,71,10,3,0,2,18,7.1,Threshold_30
1fe59f61-7f32-4bfe-a775-99fd17678ad8,10,aeddcc56-e930-4d1b-bb99-6494f9c5efc7,Player_2_Threshold_30,Threshold_30,1,224,10,7,0,3,45,22.4,Threshold_30
3cb3631c-2957-4b82-8f1a-a4cf0134c982,11,697dc8c8-5d94-4926-87a1-a3062319ae59,Player_1_Threshold_21,Threshold_21,1,222,11,9,0,2,40,20.18,Threshold_21
3cb3631c-2957-4b82-8f1a-a4cf0134c982,11,e7409c59-33c9-498b-b0a2-eaaa4d265b21,Player_2_Random_50,Random_50,0,32,11,2,0,0,6,2.91,Threshold_21
53eafc93-0ce8-4c1d-9507-91e9a5b341b5,8,8a1ba06a-efe2-4729-8edb-44ec353a5e3d,Player_1_Random_50,Random_50,0,42,8,1,0,0,9,5.25,Threshold_25
53eafc93-0ce8-4c1d-9507-91e9a5b341b5,8,ac3eca30-1da7-4993-88df-27f4100f4168,Player_2_Threshold_25,Threshold_25,1,216,8,7,0,1,28,27.0,Threshold_25
c0a03561-28cf-4fad-a7dd-7dee903631f3,10,3e0942ea-676f-4ceb-9fcb-0c2a6cb95210,Player_1_Threshold_21,Threshold_21,1,235,10,6,0,2,31,23.5,Threshold_21
c0a03561-28cf-4fad-a7dd-7dee903631f3,10,98ebaac5-567e-48f8-b33d-9aca42769e6f,Player_2_Threshold_25,Threshold_25,0,122,10,4,0,4,33,12.2,Threshold_21
5eb4707a-151a-4928-85e6-fd6834f0be19,8,a20ad7eb-fbfc-4ce9-be03-1eb2780be619,Player_1_Threshold_30,Threshold_30,1,209,8,6,0,2,36,26.12,Threshold_30
5eb4707a-151a-4928-85e6-fd6834f0be19,8,c5cf313b-cb12-4b70-ab7b-c8e9b9f39b41,Player_2_Random_50,Random_50,0,29,8,2,0,0,7,3.62,Threshold_30
59d7a2a1-9e44-4e4a-9a16-73a2609ca622,10,095ed000-01d5-4ef6-8914-bc0b341eabc2,Player_1_Threshold_30,Threshold_30,0,175,10,4,0,5,37,17.5,Threshold_25
59d7a2a1-9e44-4e4a-9a16-73a2609ca622,10,3465fa51-e775-4cba-ae02-4e7e48a5f9b9,Player_2_Threshold_25,Threshold_25,1,204,10,4,0,2,38,20.4,Threshold_25
42ae06bd-7cf7-4289-9bc7-ee8b7e6c89b0,11,9e33d21b-557e-46ba-9ef1-3086acbfd328,Player_1_Threshold_25,Threshold_25,1,231,11,8,0,3,46,21.0,Threshold_25
42ae06bd-7cf7-4289-9bc7-ee8b7e6c89b0,11,cb24e9a4-062b-4f15-ba10-3b1b6943cef6,Player_2_Random_50,Random_50,0,110,11,3,0,0,12,10.0,Threshold_25
3c35ed63-5cba-498d-b03b-b9ac0619ff64,8,2620f169-e6c1-44c1-bc79-a60167788d51,Player_1_Threshold_21,Threshold_21,0,166,8,3,0,2,29,20.75,Threshold_25
3c35ed63-5cba-498d-b03b-b9ac0619ff64,8,5ac83e62-182d-48f8-b64b-009371928e36,Player_2_Threshold_25,Threshold_25,1,201,8,5,0,2,35,25.12,Threshold_25
a65a42c6-5d01-4f7c-9c4e-041ba5a94a57,9,1470bae0-d7bd-42a2-8122-92e021a292e3,Player_1_Threshold_30,Threshold_30,1,217,9,6,0,3,44,24.11,Threshold_30
a65a42c6-5d01-4f7c-9c4e-041ba5a94a57,9,aa4864ce-cd7f-4c92-8a60-198d21348a2e,Player_2_Threshold_21,Threshold_21,0,102,9,3,0,3,19,11.33,Threshold_30
4c0d3d90-5dcd-4e08-b195-5ce771407510,9,456b9a39-3778-458f-aa10-cd148e9a2536,Player_1_Threshold_25,Threshold_25,1,202,9,7,0,2,36,22.44,Threshold_25
4c0d3d90-5dcd-4e08-b195-5ce771407510,9,4e47ec4d-1682-4806-9af3-557baad18b37,Player_2_Random_50,Random_50,0,60,9,2,0,0,6,6.67,Threshold_25
e040f073-1d9a-4103-91ce-333285c869b4,9,119bffeb-05d5-4e22-a7c1-68b2fbcf9cce,Player_1_Threshold_21,Threshold_21,0,179,9,3,0,1,29,19.89,Threshold_30
e040f073-1d9a-4103-91ce-333285c869b4,9,564471f7-65df-4bea-a3ff-0c145e309d11,Player_2_Threshold_30,Threshold_30,1,213,9,6,0,3,36,23.67,Threshold_30
c2aea24b-1720-4bc2-8944-9d1ff4adc6ef,8,9ce51ee9-8b25-41ee-85e5-fc4573a34cbb,Player_1_Random_50,Random_50,0,63,8,1,0,0,8,7.88,Threshold_30
c2aea24b-1720-4bc2-8944-9d1ff4adc6ef,8,287cca42-e82c-4612-a5e5-4f7a1b681e51,Player_2_Threshold_30,Threshold_30,1,233,8,7,0,1,34,29.12,Threshold_30
473b09d5-c459-4414-856e-137eae582ef8,15,eb2a189a-3462-41d1-90ce-933aeb94fb81,Player_1_Threshold_30,Threshold_30,1,201,15,6,0,8,57,13.4,Threshold_30
473b09d5-c459-4414-856e-137eae582ef8,15,80375a55-8ca0-49c1-a5e0-d82eb89d3b20,Player_2_Random_50,Random_50,0,136,15,8,0,1,20,9.07,Threshold_30
df793cb4-6c1e-4536-bb57-4f59a67176bf,9,297d6fba-ef02-4264-9532-dc7c2a34a508,Player_1_Threshold_25,Threshold_25,1,212,9,5,0,1,34,23.56,Threshold_25
df793cb4-6c1e-4536-bb57-4f59a67176bf,9,9c444c87-a84d-466a-9ba2-2c6267782083,Player_2_Threshold_21,Threshold_21,0,138,9,3,0,3,27,15.33,Threshold_25
a8638c4b-2705-4f9c-9abc-daf18c0c342a,12,1cab1371-80e1-4864-9fd0-9aad5b41fd5a,Player_1_Threshold_25,Threshold_25,1,206,12,8,0,4,39,17.17,Threshold_25
a8638c4b-2705-4f9c-9abc-daf18c0c342a,12,6cdfd5d9-0faf-49cd-9683-cf77f2fbbae0,Player_2_Random_50,Random_50,0,75,12,4,0,0,12,6.25,Threshold_25
248b04e5-b97f-42cc-adf5-0ce3018d9844,10,26c097f2-ab3f-4342-89fb-928eaf67197d,Player_1_Threshold_30,Threshold_30,0,198,10,5,0,4,38,19.8,Threshold_25
248b04e5-b97f-42cc-adf5-0ce3018d9844,10,1142f7e9-5141-4812-befc-e4ccbe87acda,Player_2_Threshold_25,Threshold_25,1,232,10,4,0,1,33,23.2,Threshold_25
0054ee37-1b77-4562-93b3-21937496bf4a,12,8e9a3f23-8be5-4734-8560-845c576478c9,Player_1_Random_50,Random_50,0,75,12,4,0,0,17,6.25,Threshold_21
0054ee37-1b77-4562-93b3-21937496bf4a,12,550ea7fd-63c4-4192-b940-a4dfc0964eb7,Player_2_Threshold_21,Threshold_21,1,209,12,8,0,3,28,17.42,Threshold_21
98be7e63-ec78-40eb-b6f0-7c342bb26377,13,58a59373-4aa3-4831-9e0f-3ae63dabb3b0,Player_1_Random_50,Random_50,0,87,13,4,0,0,14,6.69,Threshold_25
98be7e63-ec78-40eb-b6f0-7c342bb26377,13,2fa5b670-f864-443d-9ff4-aee73178dcab,Player_2_Threshold_25,Threshold_25,1,214,13,9,0,4,46,16.46,Threshold_25
d798253e-89a7-415e-b91b-aae7f203873f,11,99bf5a73-621c-4530-9296-7b866fbb06fd,Player_1_Threshold_25,Threshold_25,0,193,11,3,0,3,36,17.55,Threshold_30
d798253e-89a7-415e-b91b-aae7f203873f,11,2c35bf0a-9b63-45cb-99fa-d541b79dc929,Player_2_Threshold_30,Threshold_30,1,227,11,6,1,4,44,20.64,Threshold_30
f36b76ef-d62b-4544-92cb-806208ee5cdb,11,935d35bb-fc7d-4ba1-a25a-e3b9ad4ff5de,Player_1_Threshold_25,Threshold_25,1,232,11,6,0,3,39,21.09,Threshold_25
f36b76ef-d62b-4544-92cb-806208ee5cdb,11,df33f304-11f2-4212-b330-332fe04a0548,Player_2_Threshold_30,Threshold_30,0,173,11,3,0,5,47,15.73,Threshold_25
dae6641a-c3f9-4b81-b93b-8b04b8e58abf,11,51d110fb-76e0-42f5-a405-80535cc67a4a,Player_1_Threshold_21,Threshold_21,1,221,11,3,0,3,35,20.09,Threshold_21
dae6641a-c3f9-4b81-b93b-8b04b8e58abf,11,79c5eb0a-9273-4977-a201-2ba12ad06188,Player_2_Threshold_25,Threshold_25,0,194,11,7,0,4,41,17.64,Threshold_21
d4499d44-da06-4957-8ce1-a4707babf1a4,12,283ec2d6-b81d-4b48-ab31-18bdd02b592f,Player_1_Random_50,Random_50,0,33,12,6,0,1,6,2.75,Threshold_30
d4499d44-da06-4957-8ce1-a4707babf1a4,12,b6a90e67-fcdd-4889-85ac-633cb860cafd,Player_2_Threshold_30,Threshold_30,1,204,12,7,0,5,46,17.0,Threshold_30
e231e99b-bdb7-4a4c-a448-5ed7ae6ebb65,9,bd4548bd-282f-43bc-8bf4-8842dfeca75e,Player_1_Threshold_21,Threshold_21,0,186,9,4,0,0,25,20.67,Threshold_30
e231e99b-bdb7-4a4c-a448-5ed7ae6ebb65,9,41ad81dc-abe8-463f-87c1-f614e1bfaf88,Player_2_Threshold_30,Threshold_30,1,207,9,5,0,3,38,23.0,Threshold_30
e88b0f80-2163-4808-a825-c7c2adacac5b,10,ea082674-13bd-4fbd-9264-c02c3d835730,Player_1_Random_50,Random_50,0,91,10,4,0,0,14,9.1,Threshold_30
e88b0f80-2163-4808-a825-c7c2adacac5b,10,5e2843a2-f4f9-4d85-bec3-4b4852617f45,Player_2_Threshold_30,Threshold_30,1,222,10,7,0,2,39,22.2,Threshold_30
a4e20b11-f9eb-485e-91db-531d107b6863,10,f96d0b3b-0c10-4834-ac9f-2c827ea48a8e,Player_1_Random_50,Random_50,0,27,10,1,0,0,4,2.7,Threshold_21
a4e20b11-f9eb-485e-91db-531d107b6863,10,fbd9678c-4f1a-4120-8121-2a95d66cae1e,Player_2_Threshold_21,Threshold_21,1,216,10,9,0,1,29,21.6,Threshold_21
921cf7c8-b19a-459a-8410-b5f0db057eb1,11,94d126dc-04aa-48c4-91c4-08f298d591a7,Player_1_Threshold_25,Threshold_25,0,175,11,3,0,3,39,15.91,Threshold_21
921cf7c8-b19a-459a-8410-b5f0db057eb1,11,14b41ac4-ff6f-4969-b511-1b151c441e81,Player_2_Threshold_21,Threshold_21,1,217,11,8,0,3,38,19.73,Threshold_21
f778be70-5ca0-4c92-9ff2-2359d80cead7,8,f76ec4b0-b6ec-40d0-a3af-9a079c4b5174,Player_1_Threshold_25,Threshold_25,1,210,8,8,0,0,29,26.25,Threshold_25
f778be70-5ca0-4c92-9ff2-2359d80cead7,8,8482398e-2371-47b3-8fdb-b99a63e33594,Player_2_Random_50,Random_50,0,55,8,0,0,2,12,6.88,Threshold_25
e7287cbc-af77-477c-b8d4-f3a370b17529,11,71e78079-2b9e-4e74-9c49-20d0aff12df7,Player_1_Threshold_25,Threshold_25,0,171,11,5,0,5,40,15.55,Threshold_21
e7287cbc-af77-477c-b8d4-f3a370b17529,11,7589a7c7-bc47-4b15-8bc0-13367500d99d,Player_2_Threshold_21,Threshold_21,1,210,11,5,0,2,34,19.09,Threshold_21
3da9951f-69d2-4b3d-ba5d-55c823ba1125,10,94930eb1-6aba-480b-821b-191bc9a81855,Player_1_Threshold_21,Threshold_21,1,210,10,7,0,1,32,21.0,Threshold_21
3da9951f-69d2-4b3d-ba5d-55c823ba1125,10,eadd233c-4204-4c6a-b575-09cf8a8510ca,Player_2_Threshold_25,Threshold_25,0,82,10,2,0,6,32,8.2,Threshold_21
17f519c1-9e7f-4206-bf16-da9fab432e69,14,f5212249-cfb0-4617-8831-fdfa7e5ee59c,Player_1_Threshold_25,Threshold_25,1,220,14,7,0,6,53,15.71,Threshold_25
17f519c1-9e7f-4206-bf16-da9fab432e69,14,cbcebeff-458c-49b2-a63b-d68cb9c24ba9,Player_2_Threshold_30,Threshold_30,0,181,14,5,0,7,51,12.93,Threshold_25
008a3f57-e994-4932-b1b5-81f663a42f4f,11,c7a9dd99-e30b-4063-9746-7a46f7c35514,Player_1_Random_50,Random_50,0,44,11,3,0,2,9,4.0,Threshold_25
008a3f57-e994-4932-b1b5-81f663a42f4f,11,b90e479b-4150-411c-bfd7-b2c42ecc7f84,Player_2_Threshold_25,Threshold_25,1,241,11,8,0,3,41,21.91,Threshold_25
47012aff-43fa-4f3d-b396-e0f534b4a35c,9,13df66bc-35de-4702-89e3-2fb945a22916,Player_1_Threshold_21,Threshold_21,1,211,9,4,0,0,28,23.44,Threshold_21
47012aff-43fa-4f3d-b396-e0f534b4a35c,9,0db1aed5-51d8-4e66-8184-e4b56b200ecc,Player_2_Threshold_25,Threshold_25,0,151,9,5,0,4,36,16.78,Threshold_21
93a58054-a00f-49a7-98a7-bbd419491c24,9,b00f7641-a26c-4ed8-b4b0-548b3fcb3f0c,Player_1_Threshold_21,Threshold_21,1,204,9,7,0,0,30,22.67,Threshold_21
93a58054-a00f-49a7-98a7-bbd419491c24,9,cd1eee55-4ba9-47d8-85fa-cc819bdfe7c1,Player_2_Random_50,Random_50,0,104,9,2,0,0,13,11.56,Threshold_21
49e863f6-d3c1-4946-8d3a-d00b9413e696,11,cc7fd479-8c9d-4eac-9d68-6e91a59e696e,Player_1_Threshold_30,Threshold_30,1,200,11,5,0,5,43,18.18,Threshold_30
49e863f6-d3c1-4946-8d3a-d00b9413e696,11,89ba722f-0b98-43d9-a72d-77ce691248e5,Player_2_Threshold_21,Threshold_21,0,181,11,5,0,3,34,16.45,Threshold_30
a1337743-cdd4-468c-9c66-851f6f444fc4,8,c8180c06-de44-4f02-8c1f-53da44d17c81,Player_1_Threshold_25,Threshold_25,1,200,8,4,0,2,27,25.0,Threshold_25
a1337743-cdd4-468c-9c66-851f6f444fc4,8,8c943736-7a8c-4335-b62a-a0c3c470584f,Player_2_Threshold_30,Threshold_30,0,159,8,4,0,3,37,19.88,Threshold_25
ad3b683e-d535-4e53-b881-9dcaa4922cf7,9,6602dc56-b5d7-477d-ab4c-e92003279a65,Player_1_Threshold_21,Threshold_21,0,156,9,3,0,3,31,17.33,Threshold_25
ad3b683e-d535-4e53-b881-9dcaa4922cf7,9,606a99d0-7070-477b-ae5b-9f97589cc2b6,Player_2_Threshold_25,Threshold_25,1,205,9,5,0,1,30,22.78,Threshold_25
c1cecda6-d566-4cf0-8ee9-bdd764689a98,11,7fba8f64-6892-4b13-827b-7017c7a1e850,Player_1_Threshold_25,Threshold_25,1,247,11,7,0,4,48,22.45,Threshold_25
c1cecda6-d566-4cf0-8ee9-bdd764689a98,11,8bda7f4d-8259-4265-948f-7e8f5b413c62,Player_2_Random_50,Random_50,0,53,11,4,0,0,7,4.82,Threshold_25
5c440e33-9750-455b-9c03-a410000a7d8a,11,01022dec-6679-4515-9b97-4d4316e0aa0e,Player_1_Threshold_21,Threshold_21,1,214,11,9,0,2,35,19.45,Threshold_21
5c440e33-9750-455b-9c03-a410000a7d8a,11,268fc173-d429-4a4c-9e07-07c0596cadec,Player_2_Random_50,Random_50,0,48,11,1,0,2,17,4.36,Threshold_21
b972dd93-4da8-4574-b16d-b1e291abc0b8,9,0e2b8757-52e6-4014-bf92-5b9f3a9b9b74,Player_1_Threshold_25,Threshold_25,1,213,9,6,0,1,34,23.67,Threshold_25
b972dd93-4da8-4574-b16d-b1e291abc0b8,9,3e6dd9fe-e65a-498d-8a2c-74a324360851,Player_2_Threshold_21,Threshold_21,0,201,9,3,0,3,33,22.33,Threshold_25
aa042f8e-1d8c-4758-948f-9d37f90426af,9,4de9a8b6-ec84-4a88-9b19-f709ddd9be8c,Player_1_Threshold_25,Threshold_25,1,204,9,7,0,2,37,22.67,Threshold_25
aa042f8e-1d8c-4758-948f-9d37f90426af,9,ef1be498-75f6-4916-b6b6-5c0604e15513,Player_2_Random_50,Random_50,0,83,9,2,0,0,12,9.22,Threshold_25
f0f173a5-83b0-47df-a46a-2b21927c60b3,9,93ab09a3-8833-4e24-8d7c-d0b71b66cce1,Player_1_Threshold_21,Threshold_21,0,150,9,4,0,3,31,16.67,Threshold_25
f0f173a5-83b0-47df-a46a-2b21927c60b3,9,fc4d866c-da76-4200-bd1a-fb531c0b7f46,Player_2_Threshold_25,Threshold_25,1,220,9,5,0,2,36,24.44,Threshold_25
8423475a-165a-434c-a4f4-6b77eb00abe7,19,4bbc589d-2ef2-4a6a-b530-40266174af7e,Player_1_Threshold_25,Threshold_25,1,214,19,8,0,11,63,11.26,Threshold_25
8423475a-165a-434c-a4f4-6b77eb00abe7,19,324f2482-9d35-477f-adbe-7acc96624f8d,Player_2_Random_50,Random_50,0,99,19,11,0,0,12,5.21,Threshold_25
5e290e68-8b1a-43c7-9e46-f31627c4dc15,7,dd89e215-0f65-4f2c-b17d-5adce0c795df,Player_1_Threshold_30,Threshold_30,0,184,7,5,0,2,28,26.29,Threshold_21
5e290e68-8b1a-43c7-9e46-f31627c4dc15,7,6ed086c3-467d-4f06-834c-5c1870041740,Player_2_Threshold_21,Threshold_21,1,202,7,2,0,0,29,28.86,Threshold_21
6908dbb7-282b-4283-a75e-ca61764e42b9,12,81cd54c9-62fb-4cd0-8218-fdd655fa0cc5,Player_1_Threshold_30,Threshold_30,1,227,12,8,0,4,48,18.92,Threshold_30
6908dbb7-282b-4283-a75e-ca61764e42b9,12,f45e3266-d6f5-4dba-a532-1aa1eeea8ca1,Player_2_Random_50,Random_50,0,54,12,4,0,0,8,4.5,Threshold_30
61e01142-fbc5-413a-8d0b-57f656a5260e,7,71ae01b3-eefa-4d6e-a2cd-f2e3ed760ee0,Player_1_Threshold_25,Threshold_25,1,218,7,7,0,0,26,31.14,Threshold_25
61e01142-fbc5-413a-8d0b-57f656a5260e,7,93f8c2a7-5b2d-45fc-8969-146268fba0f2,Player_2_Random_50,Random_50,0,30,7,0,0,1,6,4.29,Threshold_25
43a86e97-b056-4ba7-b475-2f68b8bd57eb,12,c7985d11-f4cd-4a4f-ac63-2de116583346,Player_1_Threshold_21,Threshold_21,1,228,12,4,0,2,44,19.0,Threshold_21
